License machine redeable (metadata),count
False,738
http://www.opendefinition.org/licenses/cc-by,301
http://www.opendefinition.org/licenses/cc-zero,171
http://www.opendefinition.org/licenses/cc-by-sa,159
http://creativecommons.org/licenses/by-nc/2.0/,91
http://www.opendefinition.org/licenses/odc-odbl,39
http://www.opendefinition.org/licenses/odc-by,26
http://www.opendefinition.org/licenses/odc-pddl,24
https://creativecommons.org/licenses/by/3.0/,17
http://www.opendefinition.org/licenses/gfdl,14
http://reference.data.gov.uk/id/open-government-licence,13
https://opendefinition.org/licenses/fal,12
https://creativecommons.org/licenses/by-sa/3.0/,11
https://wordnet.princeton.edu/license-and-commercial-use,9
https://opensource.org/licenses/MIT,6
https://www.apache.org/licenses/LICENSE-2.0,4
http://www.cecill.info/licences/Licence_CeCILL-C_V1-en.html,2
https://opendefinition.org/licenses/against-drm,2
http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,2
http://compling.hss.ntu.edu.sg/omw/wns/bul/LICENSE,1
http://compling.hss.ntu.edu.sg/omw/wns/cmn/LICENSE,1
http://compling.hss.ntu.edu.sg/omw/wns/qcn/LICENSE,1
https://creativecommons.org/publicdomain/zero/1.0/,1
https://opendatacommons.org/licenses/by/1-0/,1
http://compling.hss.ntu.edu.sg/omw/wns/glg/LICENSE,1
http://compling.hss.ntu.edu.sg/omw/wns/nld/LICENSE,1
https://creativecommons.org/licenses/by-nc-sa/2.0/fr/,1
https://creativecommons.org/licenses/by-nc-sa/3.0/de/,1
https://scigraph.springernature.com/explorer/license/,1
https://opendefinition.org/licenses/tcl,1
https://opendefinition.org/licenses/miros,1
