License machine redeable (metadata),count
False,28
http://www.opendefinition.org/licenses/cc-by-sa,22
http://www.opendefinition.org/licenses/cc-by,18
http://www.opendefinition.org/licenses/cc-zero,5
http://www.opendefinition.org/licenses/gfdl,2
http://www.opendefinition.org/licenses/odc-pddl,2
http://www.opendefinition.org/licenses/odc-by,2
http://creativecommons.org/licenses/by-nc/2.0/,1
http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,1
http://www.opendefinition.org/licenses/odc-odbl,1
https://opendefinition.org/licenses/fal,1
