Dimension,Min,Q1,Median,Q3,Max,Mean
Availability,0.5,0.5625,0.75,0.75,0.99575,0.7108066666666667
Licensing,0.0,0.25,0.5,0.5,1.0,0.43333333333333335
Interlinking,0.0,1.0279347359244154e-05,0.0010596871509298,0.0073885865185958,0.0591532427749863,0.008617806397607803
Performance,0.0,0.505,0.51,1.0,1.0,0.7030000000000001
Accuracy,0.2,0.8,0.9983082234745748,1.0,1.0,0.839643534382072
Consistency,0.0,0.1,0.3993340422698567,0.4052044609665427,0.6,0.291395902163641
Conciseness,0.0,0.4938325,0.95255,0.9860312348668281,0.9890776028037382,0.6935011991832282
Verifiability,0.2766666666666666,0.4983333333333333,0.665,0.7483333333333333,0.8316666666666667,0.6095555555555556
Reputation,7.5191984980863374e-06,1.2138172809100418e-05,4.256860107818206e-05,0.00010250232900993442,0.0049935639454613,0.00038545111670199375
Believability,0.5,0.75,0.75,0.875,1.0,0.7666666666666667
Timeliness,0.0,0.0,0.0,0.0,1.0,0.13333333333333333
Completeness,0.0,0.0,0.01,0.015,0.03,0.010000000000000002
Amount,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6222222222222222
Interoperability,0.0005,0.20429020664869715,0.5055209797229472,0.5617813564911509,0.8926940639269406,0.435691101129163
Rep.-Conc.,0.0,0.4988279346783535,0.5,0.5001687558553451,0.920453044233968,0.4853398052661661
Underst.,0.0010070097181702,0.2582496701491789,0.2774884259259259,0.3121182582333609,0.621851242631695,0.28382988122465647
Interpretability,0.0,0.49999990977094577,0.9589966220499488,0.9997180616970428,0.9999999754478875,0.7501111975033969
Versatility,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5555555555555556
Security,0.5,0.5,1.0,1.0,1.0,0.8333333333333334
Score,0.242,0.467,0.485,0.532,0.624,0.4784
