License machine redeable (metadata),count
False,100
http://www.opendefinition.org/licenses/cc-zero,42
http://www.opendefinition.org/licenses/cc-by,22
http://www.opendefinition.org/licenses/cc-by-sa,9
http://reference.data.gov.uk/id/open-government-licence,6
http://www.opendefinition.org/licenses/odc-pddl,6
http://www.opendefinition.org/licenses/odc-odbl,4
http://creativecommons.org/licenses/by-nc/2.0/,3
http://www.opendefinition.org/licenses/odc-by,2
https://creativecommons.org/licenses/by/3.0/,1
