Dimension,Min,Q1,Median,Q3,Max,Mean
Availability,0.25,0.5,0.747575,0.7696625,0.9996,0.671625
Licensing,0.0,0.5,0.5,0.5,1.0,0.5
Interlinking,0.0,2.21312634439532e-05,0.0002509323444671074,0.0017497012210111,0.0405415908562735,0.005671175067513015
Performance,0.0,0.506875,0.51,1.0,1.0,0.703375
Accuracy,0.4,0.6,0.99842,0.9998015932130289,1.0,0.829342518408555
Consistency,0.0,0.2,0.4,0.5158161217928987,0.591245997193538,0.37081376853178327
Conciseness,0.0,0.7126195040527654,0.9085242960132971,0.9850683799268913,0.993643,0.7935371984193806
Verifiability,0.165,0.4983333333333333,0.665,0.665,0.8316666666666667,0.6205833333333333
Reputation,7.521095830007653e-06,1.1947560962196585e-05,3.1725188063737494e-05,9.997156677675775e-05,0.0049935639454613,0.0003222233289944266
Believability,0.75,0.75,0.75,1.0,1.0,0.8625
Timeliness,0.0,0.0,0.0,1.0,1.0,0.3
Completeness,0.0,0.0,0.0,0.0,0.03,0.0025
Amount,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5333333333333333
Interoperability,0.1596452328159645,0.5020807644882861,0.5698986975397974,0.6556751078809903,0.8798076923076923,0.5500203197324035
Rep.-Conc.,0.0,0.49999816518185497,0.500007407765993,0.5002542056363543,0.5016098389306461,0.42514153475305
Underst.,0.0,0.005174534435597525,0.2546846090034489,0.27239847066534345,0.5112283813671539,0.1737847876461981
Interpretability,0.0,0.4999990245449797,0.9489047505292939,0.9979684387841703,0.9999999535247116,0.6935303753516496
Versatility,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4333333333333333
Security,0.5,0.5,1.0,1.0,1.0,0.8
Score,0.322,0.417,0.485,0.5585,0.63,0.4885
