License machine redeable (metadata),count
False,271
http://www.opendefinition.org/licenses/cc-by,55
http://www.opendefinition.org/licenses/cc-zero,8
http://creativecommons.org/licenses/by-nc/2.0/,6
http://www.opendefinition.org/licenses/cc-by-sa,5
http://www.opendefinition.org/licenses/odc-odbl,4
http://www.opendefinition.org/licenses/gfdl,3
https://creativecommons.org/licenses/by/3.0/,2
http://www.opendefinition.org/licenses/odc-by,2
https://opendefinition.org/licenses/fal,1
http://reference.data.gov.uk/id/open-government-licence,1
https://creativecommons.org/licenses/by-nc-sa/2.0/fr/,1
http://www.opendefinition.org/licenses/odc-pddl,1
