License machine redeable (metadata),count
http://www.opendefinition.org/licenses/cc-by-sa,73
False,46
http://www.opendefinition.org/licenses/cc-by,43
http://creativecommons.org/licenses/by-nc/2.0/,42
https://wordnet.princeton.edu/license-and-commercial-use,9
https://creativecommons.org/licenses/by/3.0/,8
http://www.opendefinition.org/licenses/cc-zero,5
https://creativecommons.org/licenses/by-sa/3.0/,4
http://www.opendefinition.org/licenses/odc-odbl,3
http://www.opendefinition.org/licenses/odc-by,3
https://www.apache.org/licenses/LICENSE-2.0,2
http://www.opendefinition.org/licenses/gfdl,1
http://reference.data.gov.uk/id/open-government-licence,1
http://compling.hss.ntu.edu.sg/omw/wns/bul/LICENSE,1
http://compling.hss.ntu.edu.sg/omw/wns/cmn/LICENSE,1
http://compling.hss.ntu.edu.sg/omw/wns/qcn/LICENSE,1
https://creativecommons.org/publicdomain/zero/1.0/,1
http://www.cecill.info/licences/Licence_CeCILL-C_V1-en.html,1
https://opendatacommons.org/licenses/by/1-0/,1
http://compling.hss.ntu.edu.sg/omw/wns/glg/LICENSE,1
https://opensource.org/licenses/MIT,1
http://compling.hss.ntu.edu.sg/omw/wns/nld/LICENSE,1
