Dimension,Min,Q1,Median,Q3,Max,Mean
Availability,0.5,0.5,0.5,0.5711625,0.99955,0.5767345896606546
Licensing,0.0,0.0,0.0,0.5,1.0,0.20588235294117646
Interlinking,0.0,4.125842703372165e-07,4.125842703372165e-07,7.944881332301831e-05,0.0591532427749863,0.003972571483114793
Performance,0.505,0.51,0.51,0.8775,1.0,0.6390441176470588
Accuracy,0.4,0.996968698517298,0.996968698517298,0.996968698517298,1.0,0.9625212620530299
Consistency,0.0,0.4,0.4,0.4,0.5863786259847215,0.3773022666968799
Conciseness,0.0,0.9865633885998139,0.99379,0.99379,0.99385,0.887607480410373
Verifiability,0.165,0.4433333333333333,0.4433333333333333,0.4845833333333333,0.8316666666666667,0.5019607843137255
Reputation,7.5191984980863374e-06,7.788451511095184e-06,7.914948904983954e-06,8.37759046654746e-06,0.0049935639454613,0.00020614733825812851
Believability,0.5,0.5,0.5,0.75,1.0,0.6029411764705882
Timeliness,0.0,0.0,0.0,0.0,1.0,0.029411764705882353
Completeness,0.0,0.0,0.0,0.01,0.16,0.009705882352941177
Amount,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667
Interoperability,0.1823899371069182,0.6773026315789474,0.7017543859649122,0.7017543859649122,0.8901515151515151,0.6644070439684112
Rep.-Conc.,0.4969021697493483,0.5000197421805656,0.5914983382949058,0.5914983382949058,0.5914983382949058,0.5605471564505303
Underst.,7.114734434508248e-05,7.114734434508248e-05,7.114734434508248e-05,0.19057534929531617,0.5011447520787156,0.07802498411173132
Interpretability,0.4999998195418916,0.99508291740956,0.99508291740956,0.99508291740956,0.9999999535247116,0.9795956736608753
Versatility,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6176470588235294
Security,0.5,1.0,1.0,1.0,1.0,0.9852941176470589
Score,0.429,0.473,0.473,0.498,0.63,0.4923235294117647
