Dimension,Min,Q1,Median,Q3,Max,Mean
Availability,0.5,0.5,0.75,0.817005076142132,0.99575,0.7125510152284265
Licensing,0.5,0.5,0.5,0.5,1.0,0.6
Interlinking,0.0,0.0,0.0,1.5799023778320736e-07,0.0237037499782999,0.004740781593707537
Performance,0.5075,0.5075,1.0,1.0,1.0,0.8029999999999999
Accuracy,0.6,0.99912,0.9992853992853992,0.9997264021887824,1.0,0.9196263602948364
Consistency,0.0,0.2,0.4,0.5863786259847215,0.5950343198765965,0.3562825891722635
Conciseness,0.4938155,0.8411432777232581,0.98545,0.98545,0.993806,0.8599329555446517
Verifiability,0.3316666666666666,0.3316666666666666,0.4983333333333333,0.61,0.61,0.4763333333333333
Reputation,7.517712999815588e-06,7.519184977386296e-06,7.53454808502248e-06,7.77372003121757e-06,0.0049935639454613,0.0010047818223109484
Believability,0.5,0.5,0.75,0.75,1.0,0.7
Timeliness,0.0,0.0,0.0,0.0,0.0,0.0
Completeness,0.0,0.0,0.0,0.01,0.03,0.008
Amount,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5999999999999999
Interoperability,0.5,0.5139,0.7291666666666667,0.8546511627906976,1.0,0.7195435658914728
Rep.-Conc.,0.4978248694013197,0.4997546614327772,0.5,0.5000148155319859,0.5345878590698125,0.5064364410871791
Underst.,0.0,0.0116677930570586,0.0121150864088108,0.0224178115799803,0.2747809724761187,0.06419633270439369
Interpretability,0.4978248694013197,0.4997546614327772,0.5,0.999854410792748,0.9999999535247116,0.6994867790303114
Versatility,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26666666666666666
Security,0.5,0.5,0.5,1.0,1.0,0.7
Score,0.35,0.453,0.47,0.53,0.546,0.46980000000000005
