Dimension,Min,Q1,Median,Q3,Max,Mean
Availability,0.25,0.5,0.575,0.75,1.0,0.6480917396348238
Licensing,0.0,0.0,0.0,0.5,1.0,0.25
Interlinking,0.0,0.0,8.871549581807978e-05,0.000492297953847,0.0405043111982039,0.0022803173530424573
Performance,0.0,0.5075,0.51,1.0,1.0,0.7321785714285713
Accuracy,0.0,0.4,0.9949315260483874,0.999962684626984,1.0,0.7189733800005839
Consistency,0.0,0.0,0.2,0.4,0.6,0.22375531329667375
Conciseness,0.0,0.4925790977927484,0.4951456310679611,0.9864307935748765,0.994073748902546,0.5836004428689754
Verifiability,0.165,0.3316666666666666,0.4708333333333333,0.4995833333333333,0.8316666666666667,0.43361904761904757
Reputation,7.517666516313356e-06,7.517666516313356e-06,7.517666516313356e-06,7.517666516313356e-06,7.332422173254971e-05,1.005768984006382e-05
Believability,0.5,0.5,0.75,0.75,1.0,0.675
Timeliness,0.0,0.0,0.0,0.0,1.0,0.2
Completeness,0.0,0.0,0.0,0.0,0.02,0.00042857142857142855
Amount,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.561904761904762
Interoperability,0.0332829046898638,0.5,0.5468120701217991,0.7173872180451129,1.0,0.595637280228562
Rep.-Conc.,0.0,0.0,0.4999990245449797,0.5000639272621795,0.703390917656095,0.33495514600071047
Underst.,0.0,4.075034069956978e-05,0.0161264328425807,0.25230129496269044,0.5112283813671539,0.1130421670150908
Interpretability,0.0,0.0,0.5,0.9986090761875885,1.0,0.5410733542352654
Versatility,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.4285714285714285
Security,0.5,0.5,1.0,1.0,1.0,0.8357142857142857
Score,0.2,0.25,0.4295,0.50875,0.63,0.4092857142857143
